id,bp_code,bp_name,customer_site,district,profile,sector,customer_category,supplier,product,bw,item_description,kms_dfl_only,qty,price,total_sales,sales_month,billing_cycle,end_date,agreement_days,contract_status,account_manager,contact_person,cp_email,cp_phone,comment
68,C000,arena,HQ,Gasabo,Government,CENTRAL GOV,standard,ktrn,fiber broad band,,FIBER VPN 5MBPS,,1,150000000,,April,Monthly,2024-01-25,,,Kizza,ekkk,kdkdk@ksk.kks,65465650,
67, C002214 , Roke Telekom , Cross-connect: BCS , Gasabo , Private , TECH , Standard , BSC , Cloud Computing ,, Cross-connect ,,5,10000000,, March , Monthly ,2045-12-31,,,BANZA, Michael Mukasa , accounts@roketelkom.co.ug ,00 256 772 918826,
66, C001409 , Roke Telekom , Cross-connect: Axiom , Gasabo , Private , TECH , Standard , BSC , Cloud Computing ,, Cross-connect ,,3,10000000,, March , Monthly ,2045-12-31,,,BANZA, Michael Mukasa , accounts@roketelkom.co.ug ,00 256 772 918826,
65, C002131 , Roke Telekom , Cross-connect: BCS , Gasabo , Private , TECH , Standard , BSC , Cloud Computing ,, Cross-connect ,,1,100000,, February , Monthly ,2045-12-31,,,BANZA, Michael Mukasa , accounts@roketelkom.co.ug ,00 256 772 918826,
64, C002131 , Roke Telekom , Cross-connect: Axiom , Gasabo , Private , TECH , Standard , BSC , Cloud Computing ,, Cross-connect ,,1,100000,, February , Monthly ,2045-12-31,,,BANZA, Michael Mukasa , accounts@roketelkom.co.ug ,00 256 772 918826,
63, C002131 , Roke Telekom , Cross-connect: LTR , Gasabo , Private , TECH , Standard , BSC , Cloud Computing ,, Cross-connect ,,1,100000,, February , Monthly ,2045-12-31,,,BANZA, Michael Mukasa , accounts@roketelkom.co.ug ,00 256 772 918826,
62, C000727 , GASHORA GIRLS SCHOOL , GASHORA GIRLS SCHOOL , Bugesera , Private , EDUCATION , Standard , KTRN , Fiber Broadband Internet - Private ,20, FIBER VPN 20MBPS ,,1,900000,, February , Monthly ,2045-12-31,,,NIYITEGEKA, KURADUSENGE Benjamin , kuradusengeb@gashoragirlsacademy.org ,788407941,
61, C002131 , Roke Telekom , Colocation Services , Gasabo , Private , TECH , Standard , BSC , Cloud Computing ,, Colocation Service: 5U ,,1,400000,, January , Monthly ,2045-12-31,,,BANZA, Michael Mukasa , accounts@roketelkom.co.ug ,00 256 772 918826,
60, C002131 , Roke Telekom , Cross-connect: BCS , Gasabo , Private , TECH , Standard , BSC , Cloud Computing ,, Cross-connect ,,1,100000,, January , Monthly ,2045-12-31,,,BANZA, Michael Mukasa , accounts@roketelkom.co.ug ,00 256 772 918826,
59, C002131 , Roke Telekom , Cross-connect: Axiom , Gasabo , Private , TECH , Standard , BSC , Cloud Computing ,, Cross-connect ,,1,100000,, January , Monthly ,2045-12-31,,,BANZA, Michael Mukasa , accounts@roketelkom.co.ug ,00 256 772 918826,
